[2025-01-20 12:13:22,260: INFO: main: Welcome to our custom log]
[2025-01-20 13:58:46,088: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-01-20 14:00:39,503: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-01-20 14:00:39,508: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-20 14:00:39,527: INFO: common: created directory at: artifacts]
[2025-01-20 14:00:39,530: INFO: common: created directory at: artifacts/data_ingestion]
[2025-01-20 14:00:39,534: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-20 14:00:48,097: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-20 14:29:28,695: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-01-20 14:29:28,697: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-01-20 14:29:28,699: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-20 14:29:28,700: INFO: common: created directory at: artifacts]
[2025-01-20 14:29:28,701: INFO: common: created directory at: artifacts/data_ingestion]
[2025-01-20 14:29:28,701: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-20 14:29:35,772: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-20 14:29:36,551: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
